Time Bucket (Europe/Budapest),Hauptverteiler_1 (kWatts),Hauptverteiler_2 (kWatts),Hauptverteiler_3 (kWatts),Garage 1 (kWatts),Garage 2 (kWatts),Garage 3 (kWatts),UV 1 (kWatts),UV 2 (kWatts),UV 3 (kWatts),Mikrowelle (71) (kWatts),Arbeitszimmer (17) (kWatts),Sina (23) (kWatts),Malte (22) (kWatts),Studio (20) (kWatts),Lüftung (31) (kWatts),Geschirrspüler (38) (kWatts),Heizung (32) (kWatts),Backofen (kWatts),Kühltruhe (kWatts)
07/07/2022 15:02:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:03:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:04:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:05:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:06:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:07:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:08:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:09:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:10:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:11:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:12:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:13:00,0.0038,0.0064,0.0432,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
07/07/2022 15:14:00,0.0117,0.0110,0.1003,0.6195,0.0066,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0536
07/07/2022 15:15:00,0.0995,0.0619,0.7284,0.6193,0.0066,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0537
07/07/2022 15:16:00,0.1002,0.0615,0.7234,0.6177,0.0065,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0548
07/07/2022 15:17:00,0.1093,0.0853,0.7272,0.6155,0.0068,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0239,0.0552
07/07/2022 15:18:00,0.2039,0.3232,0.7292,0.6145,0.0069,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.2635,0.0554
07/07/2022 15:19:00,0.1836,0.0616,0.7207,0.6050,0.0069,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0009,0.0556
07/07/2022 15:20:00,0.1831,0.0607,0.6002,0.5014,0.0071,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0553
07/07/2022 15:21:00,0.1817,0.0606,0.4458,0.3621,0.0072,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0547
07/07/2022 15:22:00,0.1797,0.0598,0.4638,0.4183,0.0071,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0546
07/07/2022 15:23:00,0.1791,0.0600,0.3886,0.3440,0.0071,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0543
07/07/2022 15:24:00,0.1485,0.0598,0.4672,0.4238,0.0073,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0240
07/07/2022 15:25:00,0.1240,0.0597,0.3748,0.3297,0.0067,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:26:00,0.1236,0.0603,0.3595,0.3131,0.0067,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:27:00,0.1039,0.0598,0.4126,0.3720,0.0069,0.0082,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:28:00,0.1035,0.0594,0.4180,0.3785,0.0067,0.0098,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:29:00,0.1250,0.0595,0.4555,0.3807,0.0292,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:30:00,0.2283,0.0621,0.4797,0.3935,0.1331,0.0095,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:31:00,0.2272,0.0620,0.4946,0.4092,0.1320,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:32:00,0.2298,0.8417,0.4263,0.3373,0.1313,0.0095,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:33:00,0.1152,0.5557,0.4260,0.3092,0.0173,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:34:00,0.1035,0.3470,0.4784,0.4245,0.0064,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:35:00,0.1015,0.0965,0.4748,0.3900,0.0069,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:36:00,0.1011,0.0723,0.4768,0.3906,0.0067,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:37:00,0.1008,0.0610,0.4037,0.3192,0.0067,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:38:00,0.1014,0.0566,0.3869,0.3019,0.0069,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:39:00,0.1005,0.0671,0.4229,0.3075,0.0071,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:40:00,0.1006,0.0564,0.4708,0.3481,0.0060,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:41:00,0.0634,0.0629,0.4733,0.3507,0.0069,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:42:00,0.0347,0.0667,0.4789,0.3568,0.0067,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:43:00,0.0346,0.0564,0.4771,0.3557,0.0070,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:44:00,0.0346,0.0561,0.4853,0.3641,0.0065,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:45:00,0.0846,0.0671,0.4762,0.3563,0.0070,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0560
07/07/2022 15:46:00,0.0811,0.0561,0.4784,0.3637,0.0068,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0546
07/07/2022 15:47:00,0.0814,0.0566,0.4840,0.3664,0.0065,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0549
07/07/2022 15:48:00,0.0820,0.0673,0.4787,0.3626,0.0068,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0556
07/07/2022 15:49:00,0.0822,0.0570,0.4827,0.3682,0.0069,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0562
07/07/2022 15:50:00,0.0822,0.0568,0.4811,0.3611,0.0067,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0559
07/07/2022 15:51:00,0.0817,0.0570,0.4860,0.3670,0.0071,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0552
07/07/2022 15:52:00,0.0810,0.0663,0.4878,0.3688,0.0072,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0550
07/07/2022 15:53:00,0.0811,0.0451,0.4855,0.3696,0.0070,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0545
07/07/2022 15:54:00,0.0727,0.0673,0.4865,0.3715,0.0079,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0441
07/07/2022 15:55:00,0.0457,0.0571,0.4946,0.3804,0.0190,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:56:00,0.1525,0.0648,0.4914,0.3769,0.1333,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:57:00,0.1518,0.0666,0.2266,0.1088,0.1322,0.0095,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:58:00,0.1512,0.0668,0.1195,0.0010,0.1314,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 15:59:00,0.1508,0.0782,0.1291,0.0087,0.1311,0.0096,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:00:00,0.1504,0.0687,0.1563,0.0372,0.1309,0.0094,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:01:00,0.0777,0.0658,0.1165,0.0006,0.0529,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:02:00,0.1504,0.0687,0.1160,0.0015,0.1310,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:03:00,0.1505,0.0705,0.1176,0.0009,0.1306,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:04:00,0.1498,0.0739,0.1180,0.0006,0.1303,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:05:00,0.0407,0.0575,0.1178,0.0006,0.0129,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:06:00,0.0348,0.0577,0.1178,0.0016,0.0072,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:07:00,0.0349,0.0571,0.1208,0.0011,0.0071,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:08:00,0.0351,0.0574,0.1256,0.0015,0.0070,0.0094,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:09:00,0.0350,0.0574,0.1226,0.0010,0.0069,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:10:00,0.0819,0.0680,0.1265,0.0016,0.0065,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:11:00,0.1091,0.0571,0.1307,0.0016,0.0071,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:12:00,0.1055,0.0575,0.1370,0.0018,0.0065,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:13:00,0.1057,0.0577,0.1467,0.0013,0.0068,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:14:00,0.1051,0.0577,0.1536,0.0010,0.0065,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:15:00,0.1043,0.0575,0.1534,0.0012,0.0070,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:16:00,0.1034,0.0581,0.1515,0.0011,0.0066,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:17:00,0.1720,0.0685,0.1558,0.0014,0.0065,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0702
07/07/2022 16:18:00,0.1571,0.0469,0.1541,0.0010,0.0064,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0553
07/07/2022 16:19:00,0.1570,0.0690,0.1534,0.0013,0.0067,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0555
07/07/2022 16:20:00,0.1580,0.0575,0.1547,0.0010,0.0069,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0562
07/07/2022 16:21:00,0.1572,0.0574,0.1521,0.0008,0.0069,0.0088,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0567
07/07/2022 16:22:00,0.1569,0.0571,0.1523,0.0011,0.0073,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0563
07/07/2022 16:23:00,0.1566,0.0685,0.1514,0.0007,0.0071,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0556
07/07/2022 16:24:00,0.1559,0.0577,0.1512,0.0008,0.0069,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0551
07/07/2022 16:25:00,0.1551,0.0575,0.1529,0.0007,0.0068,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0549
07/07/2022 16:26:00,0.0623,0.0578,0.1540,0.0010,0.0070,0.0093,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0191
07/07/2022 16:27:00,0.0382,0.0596,0.1551,0.0017,0.0070,0.0089,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:28:00,0.0398,0.0664,0.1504,0.0017,0.0069,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:29:00,0.0393,0.0474,0.1520,0.0010,0.0070,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:30:00,0.0397,0.0700,0.1513,0.0010,0.0072,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:31:00,0.0394,0.0594,0.1507,0.0016,0.0065,0.0090,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:32:00,0.0401,0.0594,0.1512,0.0011,0.0072,0.0087,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:33:00,0.0398,0.0591,0.1532,0.0011,0.0069,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:34:00,0.0397,0.0572,0.1529,0.0007,0.0064,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:35:00,0.1538,0.0470,0.1449,0.0011,0.0067,0.0092,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
07/07/2022 16:36:00,0.2332,0.0469,0.1249,0.0007,0.0070,0.0091,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT,0.0000,0.0000
